adult,budget,id,original_title,overview,popularity,production_companies,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average
FALSE,30000000,862,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,Pixar Animation Studios',10/30/1995,373554033,81,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Toy Story,7.7
FALSE,90000000,863,Toy Story 2,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",17.547693,Pixar Animation Studios',10/30/1999,497366869,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The toys are back!,Toy Story 2,7.3
FALSE,200000000,10193,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",16.96647,"Walt Disney Pictures', 'Pixar Animation Studios'",6/16/2010,1066969703,103,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,No toy gets left behind.,Toy Story 3,7.6
FALSE,0,213121,Toy Story of Terror!,"What starts out as a fun road trip for the Toy Story gang takes an unexpected turn for the worse when the trip detours to a roadside motel. After one of the toys goes missing, the others find themselves caught up in a mysterious sequence of events that must be solved before they all suffer the same fate in this Toy Story of Terror.",0.512025,"Walt Disney Picture' ,'Pixar Animation Studios'",10/15/2013,0,22,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One toy gets left behind!,Toy Story of Terror!,7.3
FALSE,0,256835,Toy Story That Time Forgot,"During a post-Christmas play date, the gang find themselves in uncharted territory when the coolest set of action figures ever turn out to be dangerously delusional. It's all up to Trixie, the triceratops, if the gang hopes to return to Bonnie's room in this Toy Story That Time Forgot.",8.609555, 'Pixar Animation Studios',12/2/2014,0,22,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Toy Story That Time Forgot,6.8
FALSE,55000000,10530,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,"Walt Disney Pictures', 'Walt Disney Feature Animation'",6/14/1995,346079773,81,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,An American legend comes to life.,Pocahontas,6.7
FALSE,38000000,10534,White Squall,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,9.568604," 'Hollywood Pictures',  'Largo Entertainment', 'Scott Free Productions'",2/2/1996,10300000,129,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,White Squall,6.3
FALSE,1300000,103,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713," 'Columbia Pictures Corporation', 'Italo/Judeo Productions', 'Bill/Phillips'",2/7/1976,28262574,114,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,8.1
FALSE,35000000,43566,Before and After,Two parents deal with the effects when their son is accused of murdering his girlfriend.,2.938293,"Caravan Pictures','Hollywood Pictures'",2/23/1996,0,108,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,A murder. A suspect. A shadow of a doubt.,Before and After,5.8
FALSE,0,51352,Anne Frank Remembered,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust. Written by Dawn M. Barclift",0.243986,,6/8/1995,1,117,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?",Anne Frank Remembered,7.3
